case_id,evidence_type,status,study_axis,loading_condition,mesh,mesh_cells,period_s,frequency_hz,timestep_s,cycles,configured_max_courant,configured_max_alpha_courant,excitation,geometry_basis,solver_class
decay-mesh-cpb120,cfd_validation,accepted,mesh,free_decay,structured_2d,14400,,0.755763,0.002,,,,initial_free_surface_perturbation,rectangular_free_surface_benchmark,vof_cfd
decay-mesh-cpb160,cfd_validation,accepted,mesh,free_decay,structured_2d,25600,,0.755807,0.002,,,,initial_free_surface_perturbation,rectangular_free_surface_benchmark,vof_cfd
decay-mesh-cpb40,cfd_validation,accepted,mesh,free_decay,structured_2d,1600,,0.75558,0.002,,,,initial_free_surface_perturbation,rectangular_free_surface_benchmark,vof_cfd
decay-mesh-cpb60,cfd_validation,accepted,mesh,free_decay,structured_2d,3600,,0.755651,0.002,,,,initial_free_surface_perturbation,rectangular_free_surface_benchmark,vof_cfd
decay-mesh-cpb80,cfd_validation,accepted,mesh,free_decay,structured_2d,6400,,0.755701,0.002,,,,initial_free_surface_perturbation,rectangular_free_surface_benchmark,vof_cfd
fill-f25-t12-a5,cfd_forced_roll,accepted_with_exception,fill_prediction,forced_roll,medium,20480,12,,,10,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
fill-f25-t13p95-a10,cfd_forced_roll,accepted,fill_prediction,forced_roll,medium,20480,13.95,,,10,0.5,0.5,sinusoidal_roll_10_deg,rectangular_twin_compartment_normalized,vof_cfd
fill-f25-t13p95-a5,cfd_forced_roll,accepted_with_exception,fill_prediction,forced_roll,medium,20480,13.95,,,10,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
fill-f25-t16-a5,cfd_forced_roll,accepted,fill_prediction,forced_roll,medium,20480,16,,,10,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
fill-f70-t13-a5,cfd_forced_roll,accepted,fill_prediction,forced_roll,medium,20480,13,,,10,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
fill-f70-t14p59-a10,cfd_forced_roll,accepted,fill_prediction,forced_roll,medium,20480,14.59,,,10,0.5,0.5,sinusoidal_roll_10_deg,rectangular_twin_compartment_normalized,vof_cfd
