case_id,quantity,value,unit,window,statistic,qa_status
forced-medium-t16,level_amplitude_per_roll_degree,0.19032124795567584,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t16,roll_moment_amplitude_per_roll_degree,1494722.9225757902,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t18,exchange_amplitude_per_roll_degree,24.658572707723152,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t18,level_amplitude_per_roll_degree,0.20548810589769295,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t18,roll_moment_amplitude_per_roll_degree,1686625.0887207459,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t20,exchange_amplitude_per_roll_degree,25.92018466489436,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t20,level_amplitude_per_roll_degree,0.21600153887411966,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t20,roll_moment_amplitude_per_roll_degree,1820605.0163104627,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t21,level_amplitude_per_roll_degree,0.218820517369679,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t21,observed_max_courant,0.36031468,dimensionless,full_run,qa_metric,cycle_converged
forced-medium-t21,retained_field_window,21,s,full_run,qa_metric,cycle_converged
forced-medium-t21,roll_moment_amplitude_per_roll_degree,1864626.66751798,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t21,volume_drift,-0.00416823809134275,percent,full_run,qa_metric,cycle_converged
forced-medium-t22,exchange_amplitude_per_roll_degree,26.485027965617626,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t22,level_amplitude_per_roll_degree,0.220709068648111,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t22,observed_max_courant,0.34553355,dimensionless,full_run,qa_metric,cycle_converged
forced-medium-t22,retained_field_window,22,s,full_run,qa_metric,cycle_converged
forced-medium-t22,roll_moment_amplitude_per_roll_degree,1899576.36379539,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t22,volume_drift,-0.00561039599901901,percent,full_run,qa_metric,cycle_converged
forced-medium-t23,level_amplitude_per_roll_degree,0.221187214035805,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t23,observed_max_courant,0.33072195,dimensionless,full_run,qa_metric,cycle_converged
forced-medium-t23,retained_field_window,23,s,full_run,qa_metric,cycle_converged
forced-medium-t23,roll_moment_amplitude_per_roll_degree,1921199.46465993,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t23,volume_drift,-0.00709928670985609,percent,full_run,qa_metric,cycle_converged
forced-medium-t24,exchange_amplitude_per_roll_degree,26.48920916871042,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t24,level_amplitude_per_roll_degree,0.220739712966606,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t24,observed_max_courant,0.31541745,dimensionless,full_run,qa_metric,cycle_converged
forced-medium-t24,retained_field_window,24,s,full_run,qa_metric,cycle_converged
forced-medium-t24,roll_moment_amplitude_per_roll_degree,1934631.98554184,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t24,volume_drift,-0.00663769779454002,percent,full_run,qa_metric,cycle_converged
forced-medium-t25,level_amplitude_per_roll_degree,0.219462383855171,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t25,observed_max_courant,0.29901568,dimensionless,full_run,qa_metric,cycle_converged
forced-medium-t25,retained_field_window,25,s,full_run,qa_metric,cycle_converged
forced-medium-t25,roll_moment_amplitude_per_roll_degree,1940614.07434402,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t25,volume_drift,-0.00699598261868596,percent,full_run,qa_metric,cycle_converged
forced-medium-t26,exchange_amplitude_per_roll_degree,26.043707428547595,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t26,level_amplitude_per_roll_degree,0.21703089523789662,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t26,roll_moment_amplitude_per_roll_degree,1936639.2559606377,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
