case_id,probe_id,wall_location,z_over_height,window,minimum_Pa,maximum_Pa,mean_Pa,rms_Pa,p95_Pa,p99_Pa,peak_to_peak_Pa,harmonic_amplitude_Pa,qa_status
forced-fine-co035-pressure-t24,pressure-left-inner-h50,left-inner,0.5,last_cycle,-61.491868,5019.1576,1638.5526386482327,2479.4425113899756,4889.0215,5014.3805600000005,5080.649468,2768.7429183577847,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h70,left-inner,0.7,final_three_cycles,-85.822175,-80.917282,-83.69432402012491,83.70739277753722,-81.365711,-81.0749126,4.904893000000001,2.0716299416278328,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h70,left-inner,0.7,full_run,-85.883437,-80.917282,-83.69674290666667,83.70983706779604,-81.3996655,-81.11038357,4.9661550000000005,2.0718788144835987,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h70,left-inner,0.7,last_cycle,-85.822175,-80.917282,-83.69324623492724,83.70638801257539,-81.291899,-81.0332346,4.904893000000001,1.9946999847751092,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h90,left-inner,0.9,final_three_cycles,-109.83892,-105.37902,-107.89141091603052,107.90232292936967,-105.45476,-105.391944,4.459900000000005,2.144349589491604,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h90,left-inner,0.9,full_run,-109.88736,-105.30706,-107.89379753749999,107.9047966550605,-105.445827,-105.3823489,4.580299999999994,2.154052171289115,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h90,left-inner,0.9,last_cycle,-109.83892,-105.38224,-107.89565546777548,107.90648177789049,-105.4452,-105.391596,4.456680000000006,2.10609250037656,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h10,left-outer,0.1,final_three_cycles,33337.791,48805.07,41247.527808466344,41618.39642803434,48685.886,48760.8928,15467.279000000002,7822.629350128023,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h10,left-outer,0.1,full_run,33179.173,49067.596,41266.98522729166,41643.7718004084,48755.700950000006,48956.14961,15888.422999999995,7889.606078064501,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h10,left-outer,0.1,last_cycle,33423.684,48759.388,41252.207985446985,41616.9691800655,48651.27,48743.6834,15335.703999999998,7564.963827680746,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h30,left-outer,0.3,final_three_cycles,13069.242,28054.569,20582.75786814712,21242.869693137094,27860.329,28012.699399999998,14985.327,7422.566394733722,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h30,left-outer,0.3,full_run,12839.089,28508.602,20616.926672291665,21279.89360488772,27824.125350000002,28114.93953,15669.512999999999,7430.628762659153,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h30,left-outer,0.3,last_cycle,13069.242,27919.239,20566.05528898129,21226.993653764992,27810.751,27909.3334,14849.997000000001,7341.28865898886,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h50,left-outer,0.5,final_three_cycles,-67.634015,9378.8569,3146.0981086633587,4749.352768505639,8949.0224,9259.01772,9446.490915,4809.577484248893,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h50,left-outer,0.5,full_run,-68.21331,9378.8569,3135.7309361982516,4730.201185502676,9025.14653,9233.075286000001,9447.07021,4743.16111552477,configured_limit_exceeded
